Year,Collection,Collection Type,Location,Gender,Colour,Patterns,Shoes,Accessories,Fabric,Theme
1988,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, grey, red, beige","crunched waist, vertical stripes","pumps, high knee boots, pointed heels",stalkings,"fur, satin","tomboy, powerful"
1988,FALL,COUTURE,NEW YORK,WOMEN,"red, pink, grey, black, beige","abstract, floral",pointed heels,"big hats, sunglasses, chunky jewelry","fur, satin","antique, medieval"
1988,SPRING,COUTURE,PARIS,WOMEN,"yellow, orange, blue, white","floral, polka dots",stilettos,"big headwear, big hats","brushed cotton, cotton crosswear",ostentatious
1989,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, yellow, white",plain,pointed boots,gloves,"woollen, velvet","modest, workforce"
1990,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, grey, lavender, blue","vertical stripes, checks, abstract",ballet flats,blazer,"leather, nets, linen","sexy, boardroom"
1990,SPRING,READY-TO-WEAR,PARIS,WOMEN,"green, white","abstract, vertical stripes","ballet flats, loafers","shrugs, jackets, beads, big belts","mesh, satin","classy, splashy"
1991,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"blue, pink, white, beige, black, neons","vertical stripes, animal print, checks, vertical button line, butterfly","pumps, boots","chunky gold jewelry, buttons, gloves, jackets","sheer, mesh, fleece","hip-hop, sexy"
1991,SPRING,READY-TO-WEAR,PARIS,WOMEN,"neons, yellow, pink, orange, black, white","polka dots, stripes, checks","stilettos, flats",headgear,"khaki, cotton, flowy, sheer, mesh",pop
1992,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, red",straps,boots,gloves,"leather, velvet, sheer","sophisticated, strong"
1992,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"red, yellow, white, black","strapless, animal print, vertical stripes","pumps, stilettos, flats","headgear, chunky gold jewelry","nylon, rayon, carbon","low-cut, provocative"
1993,SPRING,COUTURE,PARIS,WOMEN,"black, white","cross, ruffles","pointed pumps, pointed boots",pearls,"mesh, flannel","haute couture, silhouette"
1993,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown, pastel","stripes, stripes, pleated, fishnets","loafers, boots, ballets","headgear, beret, gold jewellery, huge hats","fleece, mesh, woollen","grunge, flashy"
1993,SPRING,READY-TO-WEAR,PARIS,WOMEN,"red, yellow, white, black, pastel","stripes, leaves, checks, abstract","sports shoes, ballets","big chokers, beads, corsets, tassels","mesh, flannel","thrift, sportswear, cool, classy"
1994,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, red, yellow","loosely fit, checks","square toe boots, loafers","fur, gold, bows, buttons",fur,chique
1994,SPRING,COUTURE,PARIS,WOMEN,"black, white, brown, yellow","vertical stripes, checks",pumps,hats,"silk, canvas",medieval
1994,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, red, brown","vertical stripes, abstract, ruffles","barefoot, shoes, chunky heels",none,"denim,cotton, flowy, mesh","pop, summer"
1995,FALL,COUTURE,NEW YORK,WOMEN,"black, white",plain,pumps,"headgear, chunky gold jewelry","chenille, woollen","unique, classy, fierce, bold"
1995,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, grey","plain, checks",pumps,hats,"georget, linens, velvet","simple, funk"
1995,SPRING,READY-TO-WEAR,PARIS,WOMEN,"pink, white, black","vertical stripes, checks, polka dots",stilettos,"bags, brooch, belts, diamonds, gold","synthetic, satin, rayon","classy, chique"
1996,FALL,COUTURE,NEW YORK,WOMEN,"black, blue, maroon, red",plain,pointed heels,"headgear, gold, button","tweed, woollen",mob wife
1996,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, lavender, maroon, purple, red",plain,"square toe heels, loafers",none,"tweed, velvet","mob wife, professional"
1996,SPRING,READY-TO-WEAR,PARIS,WOMEN,"pastel, brown, white, black, yellow","checks, vertical stripes, plain",ballets,"sunglasses, headgear","sheer, polyester","simple, professional"
1996,SPRING,COUTURE,PARIS,WOMEN,"white, black,orange","animal print, plain",stilettos,headgear,"organza, silk",cabaret
1997,FALL,READY-TO-WEAR,NEW YORK,WOMEN,black,plain,pointed boots,"gloves, headbands","woollen, leather",classic
1997,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, brown, blue, maroon, red, yellow","animal print, floral, fishnets","stilettos, flats",small handbags,"mesh, velvet, silk, linen","bossy, mob wife"
1997,FALL,COUTURE,NEW YORK,WOMEN,"black, grey, pink",embroidery,"pointed heels, pointed boots",none,"woollen, polyester","professional, work"
1997,SPRING,COUTURE,PARIS,WOMEN,"black, white, pink, gold","embroidery, vertical stripes",pointed stilettos,headgear,"mesh, viscose, rayon",mob wife
1998,SPRING,MENSWEAR,PARIS,MEN,"black, white, beige","plain, fishnet",square toe oxfords,none,"mesh, linen, polyester","classic, minimalistic"
1998,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, grey",plain,"pointed loafers, pointed boots",none,"silk, polyester, tuxedo","silhouette, classy"
1998,SPRING,COUTURE,PARIS,WOMEN,"black, white, grey",plain,"pointed stilettos, pointed pumps",none,"polyester, silk, flowy",classy
1998,SPRING,READY-TO-WEAR,PARIS,WOMEN,"pastel, black, white",plain,"stilettos, pointed flats",none,"cottin, polyester",classy
1999,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, lavender, white, yellow, grey",plain,"pointed loafers, boots","shrugs, jackets","linen, polyester, silk","powerful, classic"
1999,FALL,MENSWEAR,NEW YORK,MEN,"black, grey",plain,"square oxfords, boots",none,"silk, tuxedo",academia
1999,SPRING,MENSWEAR,PARIS,MEN,"black, white",plain,"slip ons, shoes","vests, jackets","cotton, polyester, silk",youth
1999,FALL,COUTURE,NEW YORK,WOMEN,"black, white, brown, beige",plain,"pointed stilettos, pointed pumps",feather,"leather, woollen, tweed, polyester",powerful
1999,SPRING,COUTURE,PARIS,WOMEN,"black, white, grey, pastel",plain,"pointed stilettos, pointed pumps, pointed flats",headgear,"sheer, polyester, organza",classy
1999,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, yellow, white, orange, brown, red, blue",plain,loafers,none,"silk, sheer, flowy",clean girl
2000,FALL,COUTURE,NEW YORK,WOMEN,black,"fishnets, tassels",pointed pumps,"headgear, beads, glitter","mesh, polyester","flashy, rich"
2000,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, grey, rusty","plain, herringbone","pointed pumps, round flats, boots","gold, scarf","woollen, polyester, fleece",mob wife
2000,SPRING,COUTURE,PARIS,WOMEN,"black, white",plain,pointed pumps,glitter,"mesh, fur, polyester","flashy, rich"
2000,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, grey, pastel, brown, beige","plain, leaves","stilettos, flats",glitter,"chiffon, polyester, cotton","basic, y2k"
2000,SPRING,MENSWEAR,PARIS,MEN,"pastel, black, maroon",plain,"canvas, leather shoes, loafers",jackets,"linen, polyester","subtle, basic"
2001,FALL,MENSWEAR,NEW YORK,MEN,"black, brown","vertical stripes, plain",boots,"gator, hood","leather, woollen","grunge, emo"
2001,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, brown, white","floral, fishnets","stilettos, flats","chokers, glitter","leather, mesh, polyester","y2k, basic"
2001,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, orange, yellow, blue, brown, white, lavender","lace, checks, vertical stripes","round pumps, loafers, high knee boots",belts,"silk, chiffon","rich, y2k"
2001,FALL,COUTURE,NEW YORK,WOMEN,"brown, rusty, black, white, orange, white, purple, pink. red",checks,"pumps, stilettos, boots","high necks, fur, headgear","mesh, silk, woollen",rich
2001,SPRING,COUTURE,PARIS,WOMEN,"rusty, red, orange","lace, plain, embroidery",pointed pumps,"hat, gloves, flowers","chiffon, cotton, polyester, silk","classic, rich"
2002,SPRING,COUTURE,PARIS,WOMEN,"black, white, beige, pastels","ruffles, abstract",pointed pumps,"glitter, headgear","chiffon, mesh, polyester, organza","y2k, funky, classic"
2002,SPRING,MENSWEAR,PARIS,MEN,"black, white, blue, yellow",plain,oxfords,"hood, gator","woollen, polyester","youth, emo"
2002,FALL,COUTURE,NEW YORK,WOMEN,"black, white, maroon, yellow, brown, purple",abstract,boots,"fur, headgear","woollen, polyester","mob wife, rich"
2002,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, rusty, brown, maroon, beige","hemppants, plain, lace","pointed boots, pointed pumps","leggins, spiked belts, spiked bags","chiffon, silk, polyester",rich
2002,FALL,MENSWEAR,NEW YORK,MEN,"brown, grey, black",puffer,"boots, oxfords","hood, gator","leather, woollen",emo
2002,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, orange, blue, pastel, pink","ruffles, abstract",pointed pumps,"belts, gold","chiffon, polyester, flowy, cotton","y2k, classic, work"
2003,SPRING,READY-TO-WEAR,PARIS,WOMEN,"grey, pastel","stripes, pleated, ruffles","stilettos, pointed pumps",bags,"organza, polyester, flowy","glam, pop"
2003,FALL,COUTURE,NEW YORK,WOMEN,"black, , white","embroidery, plain",pointed pumps,"fur, headgear","ribbed, polyester, satin, organza","classic, glam, mob wife"
2003,SPRING,MENSWEAR,PARIS,MEN,"black, white",plain,none,"jacket, bandana","cotton, polyester",grunge
2003,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"brown, green, grey, orange, blue","plain, abstract",pointed boots,jacket,"leather, fleece, satin",glam
2003,FALL,MENSWEAR,NEW YORK,MEN,"green, red, yellow, black, blue",plain,"boots, oxfords",hats,polyester,"youth, classic"
